] 2:192 … retry 1 in 1s … retry 2 in 2s … ❌ HTTP Error 400: Bad Request
[81/100] 2:193 … retry 1 in 1s … retry 2 in 2s … ❌ HTTP Error 400: Bad Request
[82/100] 2:194 … retry 1 in 1s … retry 2 in 2s … ❌ HTTP Error 400: Bad Request
[83/100] 2:195 … retry 1 in 1s … retry 2 in 2s … ❌ HTTP Error 400: Bad Request
[84/100] 2:196 … retry 1 in 1s … retry 2 in 2s … ❌ HTTP Error 400: Bad Request
[85/100] 2:197 … retry 1 in 1s … retry 2 in 2s … ❌ HTTP Error 400: Bad Request
[86/100] 2:198 … retry 1 in 1s … retry 2 in 2s … ❌ HTTP Error 400: Bad Request
[87/100] 2:199 … retry 1 in 1s … retry 2 in 2s … ❌ HTTP Error 400: Bad Request
[88/100] 2:200 … retry 1 in 1s … retry 2 in 2s … ❌ HTTP Error 400: Bad Request
[89/100] 2:201 … retry 1 in 1s … retry 2 in 2s … ❌ HTTP Error 400: Bad Request
[90/100] 2:202 … retry 1 in 1s … retry 2 in 2s … ❌ HTTP Error 400: Bad Request
[91/100] 2:203 … retry 1 in 1s … retry 2 in 2s … ❌ HTTP Error 400: Bad Request
[92/100] 2:204 … retry 1 in 1s … retry 2 in 2s … ❌ HTTP Error 400: Bad Request
[93/100] 2:205 … retry 1 in 1s … retry 2 in 2s … ❌ HTTP Error 400: Bad Request
[94/100] 2:206 … retry 1 in 1s … retry 2 in 2s … ❌ HTTP Error 400: Bad Request
[95/100] 2:207 … retry 1 in 1s … retry 2 in 2s … ❌ HTTP Error 400: Bad Request
[96/100] 2:208 … retry 1 in 1s … retry 2 in 2s … ❌ HTTP Error 400: Bad Request
[97/100] 2:209 … retry 1 in 1s … retry 2 in 2s … ❌ HTTP Error 400: Bad Request
[98/100] 2:210 … retry 1 in 1s … retry 2 in 2s … ❌ HTTP Error 400: Bad Request
[99/100] 2:211 … retry 1 in 1s … retry 2 in 2s … ❌ HTTP Error 400: Bad Request
[100/100] 2:212 … retry 1 in 1s … retry 2 in 2s … ❌ HTTP Error 400: Bad Request

==========================================================
Saved this run: 0
Failed this run: 100
Failed verses (safe to retry later):
  2:1 — HTTP Error 400: Bad Request
  2:9 — HTTP Error 400: Bad Request
  2:12 — HTTP Error 400: Bad Request
  2:15 — HTTP Error 400: Bad Request
  2:18 — HTTP Error 400: Bad Request
  2:20 — HTTP Error 400: Bad Request
  2:22 — HTTP Error 400: Bad Request
  2:24 — HTTP Error 400: Bad Request
  2:27 — HTTP Error 400: Bad Request
  2:32 — HTTP Error 400: Bad Request
  2:33 — HTTP Error 400: Bad Request
  2:36 — HTTP Error 400: Bad Request
  2:39 — HTTP Error 400: Bad Request
  2:41 — HTTP Error 400: Bad Request
  2:43 — HTTP Error 400: Bad Request
  2:46 — HTTP Error 400: Bad Request
  2:50 — HTTP Error 400: Bad Request
  2:52 — HTTP Error 400: Bad Request
  2:53 — HTTP Error 400: Bad Request
  2:56 — HTTP Error 400: Bad Request
  2:59 — HTTP Error 400: Bad Request
  2:64 — HTTP Error 400: Bad Request
  2:66 — HTTP Error 400: Bad Request
  2:69 — HTTP Error 400: Bad Request
  2:70 — HTTP Error 400: Bad Request
  2:71 — HTTP Error 400: Bad Request
  2:73 — HTTP Error 400: Bad Request
  2:76 — HTTP Error 400: Bad Request
  2:77 — HTTP Error 400: Bad Request
  2:79 — HTTP Error 400: Bad Request
  2:82 — HTTP Error 400: Bad Request
  2:85 — HTTP Error 400: Bad Request
  2:86 — HTTP Error 400: Bad Request
  2:92 — HTTP Error 400: Bad Request
  2:95 — HTTP Error 400: Bad Request
  2:96 — HTTP Error 400: Bad Request
  2:98 — HTTP Error 400: Bad Request
  2:100 — HTTP Error 400: Bad Request
  2:101 — HTTP Error 400: Bad Request
  2:102 — HTTP Error 400: Bad Request
  2:103 — HTTP Error 400: Bad Request
  2:105 — HTTP Error 400: Bad Request
  2:107 — HTTP Error 400: Bad Request
  2:110 — HTTP Error 400: Bad Request
  2:112 — HTTP Error 400: Bad Request
  2:113 — HTTP Error 400: Bad Request
  2:117 — HTTP Error 400: Bad Request
  2:121 — HTTP Error 400: Bad Request
  2:123 — HTTP Error 400: Bad Request
  2:127 — HTTP Error 400: Bad Request
  2:128 — HTTP Error 400: Bad Request
  2:131 — HTTP Error 400: Bad Request
  2:132 — HTTP Error 400: Bad Request
  2:134 — HTTP Error 400: Bad Request
  2:138 — HTTP Error 400: Bad Request
  2:140 — HTTP Error 400: Bad Request
  2:141 — HTTP Error 400: Bad Request
  2:143 — HTTP Error 400: Bad Request
  2:147 — HTTP Error 400: Bad Request
  2:150 — HTTP Error 400: Bad Request
  2:152 — HTTP Error 400: Bad Request
  2:154 — HTTP Error 400: Bad Request
  2:156 — HTTP Error 400: Bad Request
  2:157 — HTTP Error 400: Bad Request
  2:160 — HTTP Error 400: Bad Request
  2:161 — HTTP Error 400: Bad Request
  2:162 — HTTP Error 400: Bad Request
  2:166 — HTTP Error 400: Bad Request
  2:167 — HTTP Error 400: Bad Request
  2:169 — HTTP Error 400: Bad Request
  2:171 — HTTP Error 400: Bad Request
  2:173 — HTTP Error 400: Bad Request
  2:175 — HTTP Error 400: Bad Request
  2:176 — HTTP Error 400: Bad Request
  2:179 — HTTP Error 400: Bad Request
  2:181 — HTTP Error 400: Bad Request
  2:182 — HTTP Error 400: Bad Request
  2:184 — HTTP Error 400: Bad Request
  2:191 — HTTP Error 400: Bad Request
  2:192 — HTTP Error 400: Bad Request
  2:193 — HTTP Error 400: Bad Request
  2:194 — HTTP Error 400: Bad Request
  2:195 — HTTP Error 400: Bad Request
  2:196 — HTTP Error 400: Bad Request
  2:197 — HTTP Error 400: Bad Request
  2:198 — HTTP Error 400: Bad Request
  2:199 — HTTP Error 400: Bad Request
  2:200 — HTTP Error 400: Bad Request
  2:201 — HTTP Error 400: Bad Request
  2:202 — HTTP Error 400: Bad Request
  2:203 — HTTP Error 400: Bad Request
  2:204 — HTTP Error 400: Bad Request
  2:205 — HTTP Error 400: Bad Request
  2:206 — HTTP Error 400: Bad Request
  2:207 — HTTP Error 400: Bad Request
  2:208 — HTTP Error 400: Bad Request
  2:209 — HTTP Error 400: Bad Request
  2:210 — HTTP Error 400: Bad Request
  2:211 — HTTP Error 400: Bad Request
  2:212 — HTTP Error 400: Bad Request
Because successful rows were saved immediately, re-running resumes automatically.
